5番道路,無,ゴクリン(HP+1) , ズルッグ(攻撃+1) , プラスル+マイナン(素早さ+1), 
7番道路,無,ハネッコ(特防+1) , コダック(特攻+1) , ロゼリア(特攻+2), 
8番道路,有,キャモメ(素早さ+1) , スバメ(素早さ+1), , 
10番道路,無,ノズパス(防御+1) , ヤンヤンマ(素早さ+1) , Xの場合　デルビル(特攻+1) ,Yの場合　ラクライ(素早さ+1)
11番道路,無,ニドラン♂+ニドラン♀(攻撃+1+H1) , スカンプー(素早さ+1) , ムックル(素早さ+1), 
12番道路,無,キャモメ(素早さ+1) , メリープ(特攻+1) , ケンタロス(攻撃+1)+ミルタンク(防御+1), 
14番道路,有,マダツボミ(攻撃+1) , スコルピ(防御+1) , アーボ(攻撃+1), 
15-16番道路,無,ヤミカラス(素早さ+1) , タマゲダケ(HP+1), , 
18番道路,有,イシツブテ(防御+1) , アイアント(防御+2), , 
19番道路,有,ウツドン(攻撃+2) , グライガー(防御+1) , アーボック(攻撃+2), 
20番道路,無,タマゲダケ(HP+1) , オーロット(防御+1) , オーロット(防御+1)+ウソッキー(防御+2), 
21番道路,有,パッチール(特攻+1) , チルット(特防+1) , ストライク(攻撃+1), 
地つなぎの洞穴,無,ゴニョニョ(HP+1) , ズバット(素早さ+1) , キバゴ(攻撃+1), 
映し身の洞窟,無,マネネ(特防+1) , ダンゴロ(防御+1), , 
フロストケイブ,無,バニプッチ(特攻+1) , クマシュン(攻撃+1) , ムチュール(特攻+1), 
終の洞窟,無,アイアント(防御+2) , イシツブテ(防御+1) , Xの場合　ココドラ(防御+1) ,Yの場合　ヨーギラス(攻撃+1)
ポケモンの村,無,タマゲダケ(HP+1) , ニョロモ(素早さ+1) , ハスブレロ(特防+2), 
チャンピオンロード,無,イシツブテ(防御+1) , フローゼル(素早さ+2) , ベロリンガ(HP+2), 
